Age,Gender,Time_on_platform,Devices_connected,Subscription_type,Num_active_profiles,Avg_rating
44,Male,7195,3,Premium,5,1
29,Male,4396,1,Standard,3,3
66,Male,4396,3,Standard,3,2
54,Female,4396,3,Basic,5,3
40,Female,2323,4,Standard,4,1
31,Female,4396,5,Standard,5,4
58,Male,4396,3,Premium,4,1
67,Male,6424,4,Standard,2,4
68,Female,2213,3,Basic,1,3
53,Male,5211,3,Standard,5,4
37,Male,7760,3,Standard,4,2
51,Male,499,3,Standard,3,4
43,Female,7520,3,Standard,5,1
35,Female,985,5,Standard,4,3
49,Female,4396,3,Basic,1,1
67,Female,7491,1,Standard,5,3
66,Female,3751,3,Basic,4,1
31,Female,6170,4,Standard,5,3
68,Female,536,4,Standard,5,3
43,Female,4396,4,Basic,3,3
21,Male,1941,2,Standard,4,3
25,Female,4396,3,Premium,2,2
44,Male,4396,4,Basic,2,3
44,Male,3362,2,Basic,1,4
31,Male,1088,3,Standard,3,3
24,Male,7141,4,Standard,1,4
40,Female,4396,5,Standard,3,3
51,Male,1563,3,Premium,2,3
49,Male,806,1,Premium,5,1
39,Male,4396,4,Standard,4,4
55,Male,4396,3,Standard,5,1
48,Female,8303,1,Standard,2,3
36,Female,1001,1,Standard,5,3
44,Female,4396,3,Standard,4,4
40,Male,58,1,Standard,3,3
29,Male,1172,3,Standard,4,2
47,Male,4396,3,Standard,5,2
41,Female,6368,3,Standard,3,3
55,Female,4396,3,Premium,3,2
58,Female,7335,5,Standard,2,1
22,Female,4396,3,Standard,1,2
44,Male,4396,3,Standard,1,4
46,Female,1346,1,Basic,3,3
22,Male,5966,3,Premium,5,3
44,Female,4396,2,Standard,5,4
53,Female,6554,2,Basic,1,1
40,Female,3456,3,Standard,1,3
59,Male,4396,1,Premium,1,2
44,Female,8579,4,Standard,5,1
50,Female,5139,3,Standard,4,1
66,Male,5057,3,Standard,2,3
23,Male,2201,3,Standard,4,3
56,Male,2671,3,Standard,3,3
44,Male,2529,5,Premium,5,1
49,Male,786,1,Standard,3,3
68,Male,1542,2,Standard,3,1
44,Male,7242,3,Premium,3,2
69,Female,6524,3,Premium,5,3
31,Female,2230,3,Standard,1,2
46,Female,4152,4,Standard,3,3
26,Male,4240,2,Basic,4,4
25,Male,1488,4,Basic,5,3
38,Female,4555,3,Basic,2,3
69,Female,2229,2,Standard,5,1
25,Female,5862,3,Premium,5,1
55,Female,8054,2,Standard,4,2
44,Female,7919,1,Standard,4,4
39,Male,7956,3,Standard,1,3
58,Male,1502,4,Standard,1,3
24,Female,1193,3,Standard,5,3
20,Male,6953,3,Standard,3,3
44,Male,2684,5,Standard,4,2
37,Male,4396,4,Premium,4,1
44,Male,4396,2,Standard,5,2
69,Male,79,4,Standard,5,1
44,Male,702,1,Standard,4,3
19,Female,5487,1,Basic,2,2
68,Female,3859,2,Premium,4,4
64,Female,1617,4,Basic,5,4
36,Male,5570,2,Standard,3,2
68,Male,4396,1,Standard,1,3
19,Female,4062,5,Standard,5,2
31,Male,7547,2,Basic,1,3
41,Female,1663,3,Basic,2,1
23,Female,4396,2,Standard,3,3
55,Male,4396,3,Standard,5,2
25,Female,3058,3,Standard,4,4
24,Female,5655,4,Standard,4,2
44,Female,4846,3,Premium,5,3
44,Male,3047,3,Premium,4,4
20,Male,4396,1,Standard,5,2
44,Male,2531,4,Premium,5,2
44,Male,4396,3,Premium,4,3
62,Male,2072,1,Standard,1,2
57,Male,4336,1,Standard,1,1
23,Female,8648,1,Standard,4,2
18,Female,4396,3,Basic,1,3
44,Female,5233,4,Standard,5,2
28,Female,429,5,Standard,3,1
43,Male,4768,1,Premium,1,1
21,Female,4396,1,Standard,3,2
28,Male,7055,5,Premium,5,1
18,Female,5519,3,Standard,2,2
21,Male,4396,4,Basic,3,3
24,Male,4396,3,Standard,5,1
38,Male,4336,4,Standard,3,4
40,Male,4396,2,Standard,5,2
51,Female,394,1,Premium,1,3
62,Female,2066,3,Standard,5,4
57,Female,4408,4,Basic,2,1
37,Female,5125,3,Standard,3,3
22,Male,8245,2,Premium,4,3
23,Female,2595,3,Standard,1,4
36,Female,4396,3,Standard,2,3
31,Female,40,3,Standard,4,3
24,Male,6808,4,Premium,5,3
49,Female,1641,4,Basic,3,3
65,Male,2911,5,Standard,3,3
58,Female,5274,1,Standard,1,4
23,Female,4396,5,Standard,5,1
26,Male,4396,2,Standard,2,3
68,Male,5463,3,Premium,3,3
18,Male,435,3,Standard,4,3
51,Male,4396,3,Premium,1,1
25,Female,4396,3,Standard,2,3
42,Female,4655,2,Basic,1,2
50,Female,7994,3,Premium,5,3
57,Female,2249,3,Basic,4,4
44,Male,6903,4,Basic,2,1
47,Male,4396,4,Standard,3,1
36,Female,30,3,Standard,5,4
37,Male,4396,3,Basic,3,4
29,Male,4396,3,Standard,1,3
44,Female,4396,1,Standard,4,1
35,Female,3880,2,Basic,4,4
44,Female,465,2,Premium,1,4
44,Male,4396,3,Premium,4,4
20,Male,1739,4,Standard,5,3
64,Female,4396,3,Basic,1,4
54,Female,5382,3,Premium,3,4
36,Female,8248,1,Standard,4,3
43,Male,4659,3,Standard,3,2
29,Female,4396,4,Basic,1,3
62,Male,4539,3,Standard,1,2
22,Female,1066,2,Premium,3,3
53,Female,3184,1,Premium,5,2
37,Male,693,4,Standard,4,1
22,Male,6874,4,Basic,1,2
61,Male,4849,5,Standard,2,1
65,Female,4396,3,Standard,3,2
30,Male,2315,4,Standard,2,3
44,Female,8117,1,Standard,2,1
57,Male,674,1,Standard,5,4
45,Male,521,2,Standard,2,1
21,Male,8308,4,Standard,2,3
42,Female,7318,5,Basic,2,2
18,Female,3656,5,Standard,3,1
66,Male,8606,2,Standard,2,3
19,Female,5359,2,Premium,1,3
44,Male,7768,3,Standard,5,3
21,Male,747,5,Basic,2,3
47,Male,4396,1,Standard,2,3
34,Female,4396,3,Standard,5,4
53,Female,6447,4,Standard,1,1
18,Female,3851,4,Standard,2,4
22,Male,6564,3,Standard,2,1
63,Female,7247,3,Standard,4,3
63,Male,6151,1,Standard,5,4
40,Female,4396,4,Basic,4,3
49,Male,4396,5,Premium,1,2
55,Female,4396,5,Basic,4,1
44,Male,1631,3,Basic,5,3
57,Male,5850,5,Standard,3,4
47,Male,4598,3,Standard,3,3
68,Female,589,2,Basic,2,3
19,Male,8218,1,Standard,3,1
25,Male,4545,3,Basic,3,3
27,Male,7364,3,Standard,5,3
24,Male,1342,4,Standard,5,2
47,Male,1632,5,Premium,5,2
22,Male,8166,3,Basic,3,4
64,Female,4396,2,Premium,2,3
51,Male,4396,4,Basic,5,4
68,Female,4396,4,Premium,4,3
27,Male,3842,3,Standard,5,3
51,Female,4396,3,Standard,5,3
66,Female,4396,3,Standard,5,3
57,Male,4396,5,Basic,3,3
57,Female,4396,4,Basic,3,3
63,Male,4396,3,Basic,2,3
41,Female,8545,3,Standard,2,4
32,Female,4952,2,Standard,5,3
35,Female,3413,2,Standard,3,2
56,Male,5831,3,Basic,3,2
46,Male,13,3,Standard,1,3
44,Male,8052,3,Premium,2,2
18,Male,1020,3,Premium,3,3
44,Male,5008,1,Premium,4,3
44,Male,4474,1,Basic,2,3
60,Female,2721,4,Standard,3,3
24,Male,2500,3,Premium,2,4
20,Male,5649,1,Standard,5,4
22,Male,4349,3,Basic,4,3
35,Male,5962,1,Premium,3,3
45,Female,4396,4,Standard,2,1
39,Male,7246,2,Basic,4,2
44,Male,4396,2,Standard,1,1
44,Female,8694,4,Standard,1,3
69,Female,4396,1,Standard,1,1
68,Female,4396,3,Basic,2,4
53,Female,3611,3,Standard,4,3
43,Female,4396,5,Standard,5,2
44,Male,4085,1,Premium,4,4
29,Female,3502,3,Premium,4,1
55,Male,2853,3,Premium,1,3
23,Male,4396,3,Basic,2,3
37,Female,5842,4,Basic,1,4
47,Male,718,4,Standard,3,3
44,Male,8483,3,Standard,1,3
28,Male,4396,3,Premium,5,2
33,Female,4396,3,Standard,5,2
59,Female,1266,3,Standard,3,3
42,Male,2734,5,Standard,3,2
60,Female,5085,5,Standard,3,3
63,Female,3888,1,Basic,3,1
59,Male,4816,3,Basic,2,4
55,Female,4936,4,Basic,1,4
20,Male,4396,3,Standard,5,1
44,Female,5983,4,Premium,1,3
30,Female,4286,5,Standard,5,4
64,Female,4396,2,Standard,5,3
28,Male,816,3,Standard,2,3
61,Male,8092,3,Premium,5,1
30,Male,1297,1,Standard,4,4
37,Female,3835,3,Standard,4,1
67,Female,4993,3,Premium,5,1
43,Female,3698,1,Basic,4,3
44,Male,3117,5,Standard,5,3
53,Female,7980,5,Basic,4,4
55,Male,4396,2,Premium,1,3
44,Male,1570,3,Basic,5,3
66,Female,5000,3,Standard,2,4
44,Female,4396,5,Standard,1,3
48,Male,2139,5,Standard,3,3
28,Female,6636,3,Basic,5,4
22,Male,841,4,Standard,5,1
66,Female,1014,3,Standard,3,4
46,Female,4595,4,Basic,1,2
45,Female,5625,3,Standard,1,2
51,Male,4645,4,Premium,2,2
21,Male,6424,4,Standard,2,3
44,Male,4396,3,Standard,4,2
62,Male,842,3,Basic,1,1
43,Male,4396,3,Standard,2,2
53,Male,2649,3,Standard,2,2
19,Female,4396,3,Basic,3,3
67,Female,8208,5,Standard,2,2
41,Female,7212,3,Premium,5,1
48,Male,4050,3,Standard,2,1
65,Male,8659,5,Standard,2,3
45,Female,2472,3,Standard,1,2
34,Female,4396,3,Premium,5,3
61,Female,5270,4,Premium,4,3
19,Female,4323,3,Standard,2,2
44,Female,1410,1,Premium,3,4
50,Male,6011,1,Standard,2,4
36,Female,1722,5,Premium,1,1
36,Male,4058,3,Standard,1,4
21,Male,7861,4,Standard,2,2
43,Female,3452,3,Basic,2,3
62,Male,4396,2,Basic,5,3
53,Male,2503,3,Standard,3,3
19,Female,4396,3,Premium,1,3
37,Male,6259,2,Basic,1,3
44,Female,3785,5,Standard,1,3
62,Male,4396,4,Standard,4,1
45,Female,4396,5,Basic,1,4
24,Male,4396,3,Premium,5,1
21,Male,2561,3,Standard,4,3
44,Female,4396,3,Standard,2,3
30,Male,744,2,Standard,5,3
42,Male,8352,5,Standard,2,4
25,Male,617,5,Premium,4,1
24,Female,453,4,Basic,3,3
44,Male,4396,2,Standard,5,2
44,Male,5635,3,Standard,5,4
50,Male,4396,3,Standard,1,1
60,Female,7115,3,Basic,1,3
19,Female,1820,2,Basic,3,3
54,Male,4396,3,Standard,2,3
38,Female,4722,5,Standard,2,3
35,Male,3692,2,Standard,5,3
60,Male,4396,3,Standard,4,4
44,Male,8486,3,Standard,3,2
51,Female,5011,3,Standard,4,3
44,Male,4396,3,Standard,2,3
23,Male,1186,4,Premium,3,3
44,Female,4396,3,Premium,3,3
69,Female,3412,1,Standard,5,3
62,Female,5040,3,Standard,4,3
59,Female,4004,1,Standard,1,4
41,Female,6485,4,Standard,4,4
44,Male,7626,3,Standard,5,3
44,Male,4396,5,Standard,1,3
27,Male,4165,3,Basic,2,2
51,Female,7299,4,Standard,1,3
41,Female,1166,3,Premium,4,1
29,Male,1574,3,Basic,2,3
51,Male,4396,5,Premium,4,3
57,Male,4396,1,Standard,5,4
49,Female,1109,5,Standard,1,3
44,Female,6839,3,Basic,3,4
44,Male,4750,1,Standard,5,4
51,Female,581,3,Standard,4,3
59,Female,4511,3,Standard,5,3
25,Male,1828,3,Standard,2,3
32,Female,1105,4,Standard,1,1
42,Female,2200,5,Basic,3,4
44,Male,2056,5,Basic,5,2
28,Male,7040,4,Premium,3,2
44,Male,8066,5,Standard,2,1
23,Female,6070,2,Standard,4,3
52,Male,5809,3,Basic,1,3
62,Male,3445,4,Standard,4,1
48,Female,1717,3,Basic,5,1
47,Male,1042,5,Premium,2,2
29,Male,6285,3,Standard,3,4
47,Female,3463,2,Basic,1,4
28,Male,5606,3,Basic,1,1
25,Female,4396,3,Basic,1,2
19,Female,4218,3,Standard,2,3
44,Male,6157,3,Premium,5,2
67,Male,1218,4,Basic,4,3
42,Female,1048,2,Standard,2,1
53,Male,4396,3,Premium,1,2
44,Female,4396,3,Standard,2,2
61,Female,8419,1,Standard,3,3
41,Male,6671,5,Standard,3,2
55,Female,4396,5,Standard,5,1
44,Female,1618,4,Standard,5,4
38,Female,5420,3,Standard,2,1
43,Female,1777,3,Basic,4,1
18,Female,2819,5,Standard,5,3
23,Male,7021,3,Standard,4,1
37,Male,1602,4,Standard,3,1
32,Female,7317,3,Basic,2,4
67,Female,4396,2,Standard,3,3
28,Female,7303,3,Standard,1,3
19,Male,7944,5,Standard,3,2
54,Male,4396,3,Premium,4,3
44,Female,4396,1,Standard,4,3
32,Female,8263,2,Premium,2,2
44,Male,3528,3,Standard,5,1
48,Female,4396,3,Standard,3,2
55,Male,4396,3,Standard,5,3
44,Male,3303,3,Standard,5,3
59,Female,4396,3,Premium,5,1
66,Female,8652,4,Basic,4,1
26,Male,4396,4,Standard,3,1
68,Male,4396,3,Standard,5,2
19,Male,4881,2,Standard,3,2
62,Female,3431,4,Standard,4,4
33,Female,7037,2,Standard,5,4
50,Female,6311,3,Basic,4,3
22,Female,4876,1,Basic,1,3
63,Male,5359,3,Standard,1,3
37,Female,5458,3,Standard,4,3
60,Female,5480,3,Basic,2,3
49,Female,6550,4,Basic,3,3
27,Female,6743,3,Premium,4,3
44,Male,1618,3,Standard,2,4
49,Male,7653,1,Standard,5,3
56,Female,5884,3,Standard,3,3
33,Male,6907,4,Basic,2,1
50,Female,3486,3,Standard,3,4
52,Female,4396,3,Standard,4,3
34,Male,4396,3,Basic,4,3
63,Female,2956,2,Standard,1,2
24,Female,1436,2,Premium,5,1
33,Male,2914,2,Standard,1,3
68,Male,8012,3,Premium,5,3
49,Female,4396,3,Standard,3,2
24,Male,4396,2,Premium,2,4
23,Male,4884,5,Standard,3,3
20,Female,6543,2,Basic,1,1
19,Male,8528,3,Basic,3,3
34,Female,7224,3,Basic,2,3
44,Female,1662,1,Standard,4,4
40,Male,4698,2,Standard,2,2
66,Male,7148,3,Basic,5,2
25,Male,4396,4,Standard,1,3
28,Male,3077,3,Basic,5,3
23,Male,3289,3,Standard,3,3
43,Female,4369,3,Basic,4,3
44,Male,3759,1,Standard,5,2
63,Male,4396,2,Standard,3,4
44,Female,6687,2,Premium,2,3
49,Female,4396,3,Basic,5,1
48,Female,512,2,Standard,4,4
49,Male,4396,4,Premium,5,1
65,Male,2361,1,Basic,2,3
39,Male,4396,3,Basic,4,4
62,Female,4396,3,Standard,1,3
42,Female,189,3,Premium,1,3
68,Male,4396,3,Standard,5,4
59,Female,3669,4,Standard,1,3
22,Female,5947,1,Standard,2,3
44,Female,4396,3,Basic,4,3
58,Male,3098,4,Basic,2,3
19,Male,5253,3,Standard,4,1
63,Male,281,3,Standard,5,2
34,Female,3385,3,Premium,1,1
65,Female,4227,4,Basic,4,3
23,Female,4775,3,Standard,3,3
44,Male,4396,2,Standard,4,2
47,Male,7615,3,Premium,1,3
26,Male,6358,2,Standard,2,2
51,Male,8080,2,Basic,3,3
24,Male,414,1,Premium,5,4
50,Female,5136,3,Standard,1,3
40,Male,5865,3,Premium,1,1
64,Female,4396,3,Standard,2,1
36,Female,5090,1,Standard,4,4
36,Male,4396,3,Premium,4,2
42,Male,1526,3,Standard,4,4
66,Male,4396,3,Standard,2,2
56,Male,4396,5,Standard,4,3
49,Male,4396,3,Basic,5,3
28,Male,8189,4,Premium,2,2
44,Female,4396,3,Standard,3,1
37,Male,8421,1,Standard,3,1
44,Male,2049,3,Premium,3,2
69,Male,2561,3,Basic,2,4
30,Male,4396,3,Standard,5,2
44,Female,4396,1,Premium,3,2
60,Male,5114,3,Premium,2,2
21,Female,8383,1,Premium,3,2
26,Male,2698,3,Standard,3,3
48,Female,7520,3,Premium,1,4
62,Female,4851,3,Premium,3,2
59,Male,2244,4,Standard,2,2
65,Female,1194,4,Standard,3,2
60,Male,4993,5,Standard,4,2
39,Male,4396,5,Premium,2,3
67,Female,2900,1,Standard,5,2
41,Male,4396,3,Standard,1,3
37,Male,6523,1,Basic,4,3
20,Male,2561,3,Basic,4,1
41,Female,4396,2,Premium,2,3
44,Female,4395,1,Premium,1,3
57,Female,3142,3,Standard,3,1
35,Female,7336,1,Premium,5,3
56,Female,161,2,Basic,5,1
44,Male,4396,2,Standard,1,4
48,Female,1562,3,Basic,1,3
23,Female,364,3,Premium,3,2
23,Male,8474,3,Standard,4,3
64,Male,3331,3,Standard,4,2
62,Female,4396,1,Standard,2,3
22,Male,7411,3,Premium,5,2
63,Female,4396,2,Standard,3,3
35,Male,7179,4,Basic,2,1
44,Female,4396,3,Standard,4,1
60,Female,4396,3,Standard,2,3
19,Male,5642,3,Standard,1,1
33,Female,7694,3,Standard,1,3
49,Female,4396,2,Standard,3,3
32,Female,6628,1,Premium,1,2
44,Male,116,3,Premium,5,2
20,Female,7076,4,Standard,4,3
49,Female,4396,3,Basic,3,3
69,Male,4396,2,Standard,2,1
44,Male,4396,3,Standard,1,3
54,Female,4396,3,Standard,5,3
44,Male,7573,3,Standard,5,1
36,Male,5118,1,Premium,2,3
27,Female,7712,4,Standard,4,4
69,Female,4899,3,Standard,2,1
64,Male,4396,5,Premium,1,2
54,Male,8595,3,Standard,1,4
65,Female,3924,2,Standard,1,3
44,Female,7064,3,Premium,4,1
51,Male,4396,3,Standard,4,4
26,Male,2674,3,Standard,3,2
41,Male,5984,3,Standard,4,1
43,Female,3952,3,Standard,5,3
67,Female,4343,5,Basic,2,2
26,Female,4396,3,Premium,5,3
21,Female,4396,3,Premium,2,1
44,Female,4396,3,Basic,1,3
64,Male,1294,5,Premium,2,1
52,Female,4396,3,Standard,3,1
20,Male,198,3,Premium,3,3
25,Female,454,1,Standard,1,3
55,Male,4396,3,Premium,1,2
44,Female,5238,5,Standard,5,4
54,Male,7200,3,Standard,1,4
51,Female,8560,1,Basic,2,1
50,Female,2469,3,Premium,2,4
44,Male,7508,4,Premium,1,2
28,Female,2267,3,Premium,1,3
36,Male,2021,4,Standard,2,1
66,Male,5115,5,Premium,2,3
64,Female,4396,1,Standard,1,1
37,Female,1875,3,Standard,2,3
26,Female,424,3,Standard,4,3
48,Female,5590,5,Standard,1,3
55,Female,3408,5,Premium,2,1
44,Male,4396,3,Standard,5,4
68,Female,8402,4,Premium,5,2
35,Male,5469,5,Basic,3,3
53,Male,968,3,Standard,5,4
43,Female,4396,3,Premium,5,1
62,Female,7199,3,Premium,1,1
44,Male,3868,3,Basic,5,1
44,Male,3857,4,Standard,5,3
43,Female,810,3,Premium,5,3
56,Male,1223,3,Standard,1,4
66,Male,4060,5,Standard,3,2
61,Male,4396,3,Standard,5,2
52,Female,4700,1,Standard,4,2
52,Female,7351,5,Standard,4,3
39,Male,4371,3,Basic,3,3
58,Male,1720,3,Basic,5,3
47,Female,7352,4,Standard,2,3
21,Female,4396,3,Basic,1,3
56,Female,6901,3,Standard,2,1
42,Male,2032,3,Standard,1,1
50,Male,4396,3,Standard,4,3
64,Male,50,4,Standard,2,1
23,Female,4396,3,Standard,1,3
50,Female,1559,1,Standard,1,1
61,Male,1924,1,Premium,4,2
44,Female,4396,4,Standard,3,4
45,Female,3634,3,Basic,2,4
65,Female,1896,3,Standard,2,2
61,Female,4396,2,Standard,5,3
44,Female,5743,1,Standard,3,2
69,Female,3970,3,Standard,1,2
62,Female,1395,1,Standard,1,3
35,Male,4269,3,Premium,5,3
39,Male,43,1,Basic,5,3
67,Female,6030,2,Basic,2,3
23,Female,4396,1,Basic,5,2
35,Female,1142,3,Standard,1,3
69,Female,7007,2,Standard,3,4
39,Male,282,1,Standard,4,3
28,Female,8555,2,Standard,1,4
61,Male,4396,2,Standard,3,4
18,Male,5049,3,Standard,5,4
18,Male,6751,5,Basic,2,1
51,Female,6837,5,Standard,5,1
55,Female,1375,3,Standard,4,3
32,Male,4185,2,Standard,5,3
20,Male,4396,4,Basic,2,1
56,Male,6822,1,Standard,2,1
49,Female,1212,3,Premium,1,4
44,Male,4396,3,Standard,4,3
34,Male,2410,5,Premium,2,4
39,Female,8281,1,Standard,3,4
69,Female,2616,3,Standard,3,3
32,Female,3686,4,Premium,4,3
38,Female,6501,1,Basic,5,2
33,Female,4396,3,Basic,2,1
67,Female,6855,3,Standard,1,3
41,Male,4396,3,Standard,3,3
44,Female,4595,2,Standard,2,1
44,Male,5519,2,Standard,1,3
28,Male,4396,4,Standard,5,1
59,Female,8533,3,Standard,1,2
40,Male,7769,4,Premium,4,3
32,Male,4396,3,Standard,3,1
64,Male,4396,3,Standard,3,1
34,Female,7078,2,Basic,1,1
68,Female,8170,3,Basic,5,1
22,Male,2789,3,Standard,1,1
31,Male,1452,3,Standard,1,2
52,Male,2501,1,Standard,4,3
18,Male,2227,5,Standard,2,4
51,Male,5344,2,Premium,5,2
69,Female,1614,4,Basic,3,3
38,Female,4396,4,Premium,5,4
38,Male,4396,3,Standard,2,3
38,Female,4396,1,Premium,3,2
46,Male,5432,4,Basic,5,4
59,Male,4396,4,Premium,4,3
62,Male,5453,3,Basic,3,4
63,Male,4396,5,Basic,3,3
56,Male,288,2,Basic,5,3
65,Female,4396,3,Standard,4,4
44,Female,4508,1,Standard,4,4
18,Female,3938,2,Standard,3,2
63,Female,4396,3,Standard,2,4
21,Female,3768,3,Standard,3,3
54,Female,1771,2,Premium,5,3
44,Male,4396,3,Basic,2,3
58,Female,6425,5,Standard,1,2
